ID,zCMB,mu,e_mu,RA,DEC,Sample,Host,morphology,Morph_quality,Notes,Host_RA,Host_DEC,cutsmask,mu_cosmo,HR,HR_err,H0
sn2003cq,0.03367666666666667,35.05791818576641,0.18022901821266746,179.08781068647073,60.5408391447949,Hicken,NGC 3978,Sb,0.0,,179.043,60.52253,True,35.064620861898845,-0.00670267613243425,0.1971293715283555,100.52725350224148
sn2003ch,0.029580000000000002,35.025115540108665,0.1373912109483029,109.52032216474414,9.728943765319098,Hicken,UGC 3787,S0-,0.0,,109.489833,9.689333,True,34.7763852232942,0.24873031681446636,0.1589145523830447,100.52725350224148
sn2003w,0.02108333333333333,33.91507955983273,0.10877171465813736,146.67896831736627,16.019989638212515,Hicken,UGC 5234,Sc,0.0,,146.706316,16.042861,True,34.027315202523305,-0.11223564269057816,0.13493989781726398,100.52725350224148
sn2003u,0.027880000000000002,34.506382068177764,0.12453871575548026,260.5954404827341,62.18584981470893,Hicken,NGC 6365,Sdm,0.0,,260.68208300000003,62.17,True,34.64511571805839,-0.13873364988062775,0.1479438468990404,100.52725350224148
sn2002jy,0.02008333333333333,34.23437429399354,0.11037696239665976,20.267385204896193,40.52239894659957,Hicken,NGC 477,Sc,0.0,,20.334875,40.488194,True,33.92016521514056,0.3142090788529828,0.13623716064707175,100.52725350224148
sn2002hu,0.03817333333333333,35.27270187500262,0.11950229841115573,34.52302921371585,37.44450583158338,Hicken,MCG +06-6-12,Scd,1.0,,34.576458,37.464333,True,35.343954257866066,-0.07125238286344171,0.14372991838448704,100.52725350224148
sn2002he,0.02478333333333333,34.29598700285717,0.15171595679570798,125.05394772646959,62.825403574919406,Hicken,UGC 4322,E,0.0,,125.00725,62.830583,True,34.38443724971853,-0.08845024686136327,0.17145034750533322,100.52725350224148
sn2002hd,0.035973333333333336,34.838920391867205,0.1605185544428884,133.48723463028594,-7.239321920382133,Hicken,MCG -01-23-8,E,0.0,,133.51951499999998,-7.1832080000000005,True,35.21155104480667,-0.3726306529394634,0.1792866320552007,100.52725350224148
sn2002ha,0.01339,33.06502401717791,0.1156058667480442,311.8500054849095,0.30214899384418714,Hicken,NGC 6962,Sab,0.0,,311.829434,0.320801,True,33.028899669718776,0.036124347459136175,0.14050696260267298,100.52725350224148
sn2002fb,0.01546,33.41960689016808,0.14117511810149466,29.47435014517309,36.3715868606276,Hicken,NGC 759,E,0.0,,29.459708000000003,36.343111,True,33.344454417109816,0.07515247305826023,0.1621971149072429,100.52725350224148
